test_id,architecture,endpoint,query_type,top_k,retrieved_docs,relevant_docs,input_tokens,output_tokens,retrieval_ms,llm_ms,total_ms,status_code,recall_at_k,precision_at_k,mrr,ndcg_at_k,correctness,faithfulness,hallucination_rate
Q001,B_Selective_Retrieval,/chat,single_doc,3,regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf,regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf,3531,94,6.03,2396.94,2402.99,200,1.0,0.3333,1.0,1.0,0.0,1.0,0.0
Q002,B_Selective_Retrieval,/chat,single_doc,3,regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf,regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf,2967,223,7.21,4987.55,4994.78,200,1.0,0.3333,1.0,1.0,0.6667,1.0,0.0
Q003,B_Selective_Retrieval,/chat,single_doc,3,regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf;GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf,2640,85,5.07,2494.64,2499.74,200,1.0,0.3333,1.0,1.0,1.0,1.0,0.0
Q004,B_Selective_Retrieval,/chat,single_doc,3,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,bando_erasmus.pdf,657,29,6.21,2179.43,2185.66,200,0.0,0.0,0.0,0.0,0.6667,0.95,0.05
Q005,B_Selective_Retrieval,/chat,single_doc,3,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,bando_erasmus.pdf,763,75,5.89,3045.44,3051.34,200,0.0,0.0,0.0,0.0,0.0,0.8,0.2
Q021,B_Selective_Retrieval,/chat,multi_doc,3,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;Rapporto OPIS 2024 - Gestionale Magistrale.md,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;Almalaurea/triennale/scheda_IGEST.md;Almalaurea/magistrale/scheda_GEST_MAG.md,952,494,7.12,9993.65,10000.78,200,0.3333,0.3333,1.0,0.4693,0.0,1.0,0.0
Q022,B_Selective_Retrieval,/chat,multi_doc,3,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,bando_erasmus.pdf;GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,887,271,6.47,4882.73,4889.22,200,0.5,0.3333,1.0,0.6131,0.0,0.8,0.2
Q023,B_Selective_Retrieval,/chat,multi_doc,3,regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf;GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf;GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,2686,224,6.44,5566.9,5573.36,200,1.0,0.6667,1.0,1.0,0.3333,1.0,0.0
Q024,B_Selective_Retrieval,/chat,multi_doc,3,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;bando_erasmus.pdf,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;bando_erasmus.pdf,754,110,6.41,3385.66,3392.08,200,1.0,0.6667,1.0,1.0,0.0,0.8,0.2
Q025,B_Selective_Retrieval,/chat,multi_doc,3,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;Rapporto OPIS 2024 - Gestionale Magistrale.md,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;Almalaurea/triennale/scheda_IGEST.md;Almalaurea/magistrale/scheda_GEST_MAG.md,952,619,6.03,7331.3,7337.33,200,0.3333,0.3333,1.0,0.4693,0.0,1.0,0.0
Q041,B_Selective_Retrieval,/chat,kpi_almalaurea_opis,3,Analisi Occupazionale e Soddisfazione Laureati Politecnico di Bari - Rapporto 2025.md;Rapporto AlmaLaurea 2024 - Design.md;Analisi Dashboard AlmaLaurea - Gestionale magistrale.md,Almalaurea/triennale/scheda_IGEST.md,2223,42,6.26,2627.62,2633.9,200,0.0,0.0,0.0,0.0,0.6667,1.0,0.0
Q042,B_Selective_Retrieval,/chat,kpi_almalaurea_opis,3,Rapporto OPIS 2023 - Meccanica.md;Rapporto AlmaLaurea 2024 - Design.md;Analisi Dashboard AlmaLaurea - Meccanica triennale.md,Almalaurea/triennale/scheda_IMEC.md;Recensioni Studenti/triennale/report_IMEC.md,1131,311,7.03,5462.69,5469.74,200,0.0,0.0,0.0,0.0,0.6667,1.0,0.0
Q043,B_Selective_Retrieval,/chat,kpi_almalaurea_opis,3,Analisi Dashboard AlmaLaurea - Elettronica IT triennale.md;Analisi Occupazionale e Soddisfazione Laureati Politecnico di Bari - Rapporto 2025.md;GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,Almalaurea/triennale/scheda_IETI.md,1657,47,6.96,1685.6,1692.57,200,0.0,0.0,0.0,0.0,0.6667,1.0,0.0
Q044,B_Selective_Retrieval,/chat,kpi_almalaurea_opis,3,Rapporto OPIS 2024 - Civile e Ambientale.md;Analisi Dashboard AlmaLaurea - Civile Ambientale triennale.md;Rapporto OPIS 2024 - Civile Magistrale.md,Almalaurea/triennale/scheda_ICIVAMB.md;Recensioni Studenti/triennale/report_ICIVAMB.md,892,188,6.69,3814.88,3821.59,200,0.0,0.0,0.0,0.0,0.6667,1.0,0.0
Q045,B_Selective_Retrieval,/chat,kpi_almalaurea_opis,3,Analisi Occupazionale e Soddisfazione Laureati Politecnico di Bari - Rapporto 2025.md;Rapporto AlmaLaurea 2024 - Design.md,Almalaurea/triennale/scheda_ARCH.md,1529,110,6.06,3347.28,3353.36,200,0.0,0.0,0.0,0.0,0.3333,1.0,0.0
Q061,B_Selective_Retrieval,/recommend,course_advisor,3,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,2415,539,6.01,15066.2,15072.21,200,1.0,0.3333,1.0,1.0,0.6667,1.0,0.0
Q062,B_Selective_Retrieval,/recommend,course_advisor,3,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,2416,531,6.79,10434.92,10441.71,200,1.0,0.3333,1.0,1.0,0.6667,1.0,0.0
Q063,B_Selective_Retrieval,/recommend,course_advisor,3,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,2377,669,6.18,16318.24,16324.43,200,1.0,0.3333,1.0,1.0,0.6667,1.0,0.0
Q064,B_Selective_Retrieval,/recommend,course_advisor,3,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,2348,546,6.24,18356.03,18362.28,200,1.0,0.3333,1.0,1.0,0.6667,1.0,0.0
Q065,B_Selective_Retrieval,/recommend,course_advisor,3,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,2411,640,5.49,12644.0,12649.49,200,1.0,0.3333,1.0,1.0,0.6667,1.0,0.0
Q081,B_Selective_Retrieval,/chat,campus_navigation,3,,mappe_db,0,0,0.01,0.0,0.03,200,0.0,0.0,0.0,0.0,0.6667,0.95,0.05
Q082,B_Selective_Retrieval,/chat,campus_navigation,3,,mappe_db,0,0,0.0,0.0,0.01,200,0.0,0.0,0.0,0.0,0.3333,0.8,0.2
Q083,B_Selective_Retrieval,/chat,campus_navigation,3,,mappe_db,0,0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.6667,0.95,0.05
Q084,B_Selective_Retrieval,/chat,campus_navigation,3,,mappe_db,0,0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.6667,0.95,0.05
Q085,B_Selective_Retrieval,/chat,campus_navigation,3,,mappe_db,0,0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.6667,0.95,0.05
Q091,B_Selective_Retrieval,/chat,out_of_domain_ambiguous,3,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;bando_erasmus.pdf,,739,68,5.02,2847.08,2852.11,200,1.0,0.0,1.0,1.0,0.0,0.8,0.2
Q092,B_Selective_Retrieval,/chat,out_of_domain_ambiguous,3,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,,637,58,5.22,1913.81,1919.03,200,1.0,0.0,1.0,1.0,0.0,0.8,0.2
Q093,B_Selective_Retrieval,/chat,out_of_domain_ambiguous,3,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,,1002,74,4.97,3102.87,3107.85,200,1.0,0.0,1.0,1.0,0.0,0.8,0.2
Q094,B_Selective_Retrieval,/chat,out_of_domain_ambiguous,3,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;Analisi Dashboard AlmaLaurea - Biomedica magistrale.md,,569,36,5.2,1221.01,1226.22,200,1.0,0.0,1.0,1.0,0.0,0.8,0.2
Q095,B_Selective_Retrieval,/chat,out_of_domain_ambiguous,3,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf,,1800,85,5.8,2540.67,2546.48,200,1.0,0.0,1.0,1.0,0.0,0.8,0.2
Q001,B_Selective_Retrieval,/chat,single_doc,5,regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf,regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf,6184,216,5.94,4502.54,4508.5,200,1.0,0.2,1.0,1.0,0.0,1.0,0.0
Q002,B_Selective_Retrieval,/chat,single_doc,5,regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf,regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf,4046,231,6.34,7631.09,7637.44,200,1.0,0.2,1.0,1.0,0.6667,1.0,0.0
Q003,B_Selective_Retrieval,/chat,single_doc,5,regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf;GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf,5302,180,5.25,5105.69,5110.96,200,1.0,0.2,1.0,1.0,1.0,1.0,0.0
Q004,B_Selective_Retrieval,/chat,single_doc,5,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso_meta.json,bando_erasmus.pdf,1376,32,4.83,2385.22,2390.07,200,0.0,0.0,0.0,0.0,0.6667,0.95,0.05
Q005,B_Selective_Retrieval,/chat,single_doc,5,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf,bando_erasmus.pdf,2147,83,5.65,2667.6,2673.26,200,0.0,0.0,0.0,0.0,0.0,0.8,0.2
Q021,B_Selective_Retrieval,/chat,multi_doc,5,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;Rapporto OPIS 2024 - Gestionale Magistrale.md;Analisi Dashboard AlmaLaurea - Gestionale magistrale.md,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;Almalaurea/triennale/scheda_IGEST.md;Almalaurea/magistrale/scheda_GEST_MAG.md,1399,930,5.62,14230.01,14235.63,200,0.3333,0.2,1.0,0.4693,0.6667,1.0,0.0
Q022,B_Selective_Retrieval,/chat,multi_doc,5,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,bando_erasmus.pdf;GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,1377,193,7.46,5956.18,5963.66,200,0.5,0.2,1.0,0.6131,0.0,0.8,0.2
Q023,B_Selective_Retrieval,/chat,multi_doc,5,regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf;GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;Analisi Occupazionale e Soddisfazione Laureati Politecnico di Bari - Rapporto 2025.md,regolamento_contribuzione_studentesca_politecnico_di_bari_25_26.pdf;GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md,3289,405,6.51,5596.72,5603.24,200,1.0,0.4,1.0,1.0,0.3333,1.0,0.0
Q024,B_Selective_Retrieval,/chat,multi_doc,5,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;bando_erasmus.pdf,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;bando_erasmus.pdf,1436,121,6.33,3560.19,3566.53,200,1.0,0.4,1.0,1.0,0.0,0.8,0.2
Q025,B_Selective_Retrieval,/chat,multi_doc,5,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;Rapporto OPIS 2024 - Gestionale Magistrale.md;Analisi Dashboard AlmaLaurea - Gestionale magistrale.md,GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;Almalaurea/triennale/scheda_IGEST.md;Almalaurea/magistrale/scheda_GEST_MAG.md,1399,869,6.71,14446.47,14453.2,200,0.3333,0.2,1.0,0.4693,0.3333,1.0,0.0
Q041,B_Selective_Retrieval,/chat,kpi_almalaurea_opis,5,Analisi Occupazionale e Soddisfazione Laureati Politecnico di Bari - Rapporto 2025.md;Rapporto AlmaLaurea 2024 - Design.md;Analisi Dashboard AlmaLaurea - Gestionale magistrale.md;Analisi Dashboard AlmaLaurea - Biomedica magistrale.md,Almalaurea/triennale/scheda_IGEST.md,3933,56,6.45,2746.87,2753.35,200,0.0,0.0,0.0,0.0,0.6667,1.0,0.0
Q042,B_Selective_Retrieval,/chat,kpi_almalaurea_opis,5,Rapporto OPIS 2023 - Meccanica.md;Rapporto AlmaLaurea 2024 - Design.md;Analisi Dashboard AlmaLaurea - Meccanica triennale.md;Analisi Dashboard AlmaLaurea - Meccanica magistrale.md,Almalaurea/triennale/scheda_IMEC.md;Recensioni Studenti/triennale/report_IMEC.md,1974,321,6.41,9513.47,9519.9,200,0.0,0.0,0.0,0.0,0.6667,1.0,0.0
Q043,B_Selective_Retrieval,/chat,kpi_almalaurea_opis,5,Analisi Dashboard AlmaLaurea - Elettronica IT triennale.md;Analisi Occupazionale e Soddisfazione Laureati Politecnico di Bari - Rapporto 2025.md;GUIDA-DELLO-STUDENTE_27_03_2025_Web-compresso.md;Rapporto AlmaLaurea 2024 - Design.md;Analisi Dashboard AlmaLaurea - Biomedica magistrale.md,Almalaurea/triennale/scheda_IETI.md,2516,47,6.38,3017.38,3023.78,200,0.0,0.0,0.0,0.0,0.6667,1.0,0.0
